Post Total Reach,Post Total Impressions,Post Organic Impressions,Engaged Users,Matched Audience Targeting Consumers on Post,Matched Audience Targeting Consumptions on Post,Negative Feedback from Users,Negative Feedback,Post Impressions by people who have liked your Page,Post reach by people who like your Page,People who have liked your Page and engaged with your post,Organic views to 95%,Organic views to 95%.1,Organic Video Views,Organic Video Views.1,Average time video viewed,Video length
12890,18066,18066,2521,2264,4419,8,8,6947,4275,1136,4,5,5742,8594,135835,8664276
1910,2445,2445,124,87,121,0,0,1688,1305,107,0,0,0,0,0,0
10690,14552,14552,1231,1039,1540,0,0,4895,3081,625,0,0,0,0,0,0
7163,12521,12521,497,430,693,0,0,6760,2933,380,58,68,1789,2985,6171,121580
955,1243,1243,41,30,41,1,1,1132,861,40,0,0,0,0,0,0
7598,11463,11463,823,651,964,1,1,5117,3001,515,0,0,0,0,0,0
1203,1615,1615,96,88,112,1,1,1459,1074,94,0,0,0,0,0,0
1737,2276,2276,158,131,199,0,0,1873,1398,148,0,0,0,0,0,0
5150,7518,7518,400,291,385,1,1,3441,1915,264,108,123,1588,2089,9764,132425
4105,5862,5862,322,298,566,0,0,3463,2316,238,0,0,0,0,0,0
4173,5552,5552,498,412,605,0,0,3143,1998,352,0,0,0,0,0,0
4227,5842,5842,263,119,151,0,0,2898,1974,179,190,214,756,930,3236,15145
707,850,850,28,24,30,0,0,772,630,26,0,0,97,101,0,802581
1295,1554,1554,114,97,117,1,1,1468,1216,109,0,0,0,0,0,0
1522,2024,2024,109,51,71,0,0,1482,1085,93,0,0,0,0,0,0
2294,3079,3079,119,92,119,0,0,1737,1189,93,0,0,0,0,0,0
553,649,649,21,20,23,0,0,587,485,20,0,0,69,70,0,1790506
1038,1193,1193,47,41,56,0,0,1126,972,44,0,0,243,258,0,5565140
409,478,478,12,11,12,0,0,423,360,10,0,0,0,0,0,0
420,503,503,14,12,13,0,0,452,368,11,0,0,53,54,0,956096
675,827,827,35,29,35,0,0,781,628,35,0,0,94,95,0,729024
488,612,612,33,31,38,0,0,555,445,32,0,0,89,102,0,41066
2681,3540,3540,234,81,100,0,0,2173,1597,167,0,0,0,0,0,0
1452,1955,1955,97,76,93,0,0,1376,1005,78,0,0,0,0,0,0
2696,2757,2757,100,70,84,0,0,1315,1297,78,0,0,0,0,0,0
4039,4223,4223,132,99,130,0,0,2002,1933,104,0,0,0,0,0,0
2637,2954,2954,306,252,328,0,0,1419,1242,226,100,120,734,1046,5518,35093
1808,2040,2040,165,106,143,1,1,1685,1458,150,0,0,0,0,0,0
1646,1770,1770,94,24,26,0,0,1078,975,81,0,0,0,0,0,0
3201,3628,3628,106,56,73,0,0,1141,974,62,0,0,0,0,0,0
4902,5440,5440,320,277,327,1,1,2815,2276,257,0,0,0,0,0,0
4848,5317,5317,560,328,371,0,0,3469,3154,429,0,0,0,0,0,0
1820,1990,1990,132,78,97,0,0,1745,1615,125,0,0,0,0,0,0
3081,3842,3842,119,60,77,0,0,2314,1693,107,0,0,0,0,0,0
3732,4353,4353,176,103,148,0,0,2443,2033,145,0,0,0,0,0,0
7977,11924,11924,349,295,395,0,0,5704,3274,276,0,0,0,0,0,0
7251,8878,8878,269,215,348,0,0,4105,2896,231,0,0,0,0,0,0
7107,8212,8212,418,285,460,0,0,4165,3493,331,0,0,0,0,0,0
8743,12890,12890,1011,900,1331,0,0,5296,2772,489,309,361,2819,4381,5679,44928
1129,1523,1523,25,18,21,1,1,1088,737,21,0,0,116,132,0,33600
10273,15404,15404,426,285,474,0,0,6182,3324,262,0,0,0,0,0,0
1053,1332,1332,43,38,51,0,0,986,738,40,0,0,106,114,0,10112
1240,1485,1485,25,7,7,0,0,1201,955,23,0,0,0,0,0,0
